,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
401,67,珊20911,0,2023/02/26,2023/08/26,
402,1,儒49238,"1,880",2023/03/24,2023/09/24,
403,2,君33056,0,2023/05/13,2023/11/13,
404,3,薏46697,0,2019/05/01,2019/11/01, 
405,4,男02968,0,2019/06/10,2019/12/10, 
406,5,文71585,0,2019/06/14,2019/12/14, 
407,6,錦16765,0,2019/07/23,2020/01/23, 
408,7,呂17617,0,2019/09/14,2020/03/14, 
409,8,婷51127,0,2019/10/11,2020/04/11, 
410,9,真30556,0,2020/07/22,2021/01/22, 
411,10,青24959,0,2020/08/01,2021/02/01,
412,11,達11899,0,2020/08/01,2021/02/01,
413,12,欽49003,0,2020/08/01,2021/02/01, 
414,13,緯34316,0,2020/08/01,2021/02/01,
415,14,玉73273,0,2020/08/01,2021/02/01,
416,15,華34950,0,2020/08/01,2021/02/01,
417,16,銘28652,0,2020/08/01,2021/02/01,
418,17,婷56060,0,2020/08/01,2021/02/01,
419,18,嫥73503,0,2020/08/01,2021/02/01,
420,19,杰99452,0,2020/08/01,2021/02/01,
421,20,年95733,0,2020/08/01,2021/02/01,
422,21,廷43617,0,2020/08/01,2021/02/01,
423,22,充37912,0,2020/08/01,2021/02/01,
424,23,璇52475,0,2020/08/01,2021/02/01,
425,24,宏46555,0,2020/08/01,2021/02/01,
426,25,皓24821,0,2020/08/01,2021/02/01,
427,26,慧97419,0,2020/08/01,2021/02/01,
428,27,衡39683,0,2020/08/01,2021/02/01,
429,28,勳09125,0,2020/08/01,2021/02/01,
430,29,宏79020,0,2020/08/01,2021/02/01,
431,30,佑46879,0,2020/08/01,2021/02/01,
432,31,毅95355,0,2020/08/01,2021/02/01,
433,32,如66533,0,2020/08/01,2021/02/01,
434,33,甫66368,0,2020/08/01,2021/02/01,
435,34,元34802,0,2020/08/01,2021/02/01,
436,35,琳00825,0,2020/08/01,2021/02/01,
437,36,鳴04312,0,2020/08/01,2021/02/01,
438,37,傑32830,0,2020/08/01,2021/02/01,
439,38,展90738,0,2020/08/01,2021/02/01,
440,39,衛57709,0,2020/08/01,2021/02/01,
441,40,善99782,0,2020/08/01,2021/02/01,
442,41,遠15729,0,2020/08/01,2021/02/01,
443,42,涵33051,0,2020/08/01,2021/02/01,
444,43,文33113,0,2020/08/01,2021/02/01,
445,44,賜50437,0,2020/08/01,2021/02/01,
446,45,麟75090,0,2020/08/01,2021/02/01,
447,46,滿98231,0,2020/08/01,2021/02/01,
